lex	word	case	POS	number	gender
стоялый	стоял		ADJS	sing	masc
знаете	знаете		CONJ		
наверно	наверно		ADVB		
пойти	пойду		VERB	sing	
уxодить	уxодите		VERB	plur	
три	третий	nomn	ADJF	sing	masc
час	час	accs	NOUN	sing	masc
место	места	gent	NOUN	sing	neut
последний	последний	nomn	ADJF	sing	masc
девушка	девушка	nomn	NOUN	sing	femn
проxодить	проxодите		VERB	plur	
сюда	сюда		ADVB		
молодая	молодой	gent	NOUN	sing	femn
человек	человек	nomn	NOUN	sing	masc
уйти	ушёл		VERB	sing	masc
становиться	становитесь		VERB	plur	
вместо	вместо		PREP		
спасибо	спасибо		INTJ		
это	это		PRCL		
спасибо	спасибо		INTJ		
гвоздик	гвоздики	nomn	NOUN	plur	masc
рынок	рынке	loct	NOUN	sing	masc
брать	брали		VERB	plur	
магазин	магазине	loct	NOUN	sing	masc
это	это		PRCL		
который	который	nomn	ADJF	sing	masc
направо	направо		ADVB		
xоронуть	xорошие	nomn	PRTF	plur	
какой	какие	nomn	ADJF	plur	
везучий	везучий	nomn	ADJF	sing	masc
человек	человек	nomn	NOUN	sing	masc
такой	такие	nomn	ADJF	plur	
большой	большие	nomn	ADJF	plur	
такой	такие	nomn	ADJF	plur	
попадаться	попадались		VERB	plur	
значит	значит		CONJ		
везучий	везучая	nomn	ADJF	sing	femn
причём	причём		CONJ		
такой	таким	datv	ADJF	plur	
симпатичный	симпатичным	ablt	ADJF	sing	masc
везти	везёт		VERB	sing	
глупость	глупости	datv	NOUN	sing	femn
это	это		PRCL		
долго	долго		ADVB		
стоять	стоите		VERB	plur	
очень	очень		ADVB		
значительно	значительно		ADVB		
быстрый	быстрее		COMP		
почему	почему		ADVB		
подойти	подошли		VERB	plur	
обижать	обижаете		VERB	plur	
самоучка	самоучка	nomn	NOUN	sing	femn
учиться	учились		VERB	plur	
учиться	учился		VERB	sing	masc
везде	везде		ADVB		
повсюду	повсюду		ADVB		
мир	миру	datv	NOUN	sing	masc
нитка	нитке	datv	NOUN	sing	femn
значит	значит		CONJ		
ага	ага		INTJ		
простить	простите		VERB	plur	
звать	зовут		VERB	plur	
очень	очень		ADVB		
нужно	нужно		PRED		
нужно	нужно		PRED		
сказать	скажу		VERB	sing	
сказать	скажите		VERB	plur	
вредничать	вредничайте		VERB	plur	
неа	неа				
сказать	скажите		VERB	plur	
пожалуйста	пожалуйста		PRCL		
жалко	жалко		ADVB		
жалко	жалко		ADVB		
пожалуйста	пожалуйста		PRCL		
лена	лена	nomn	NOUN	sing	femn
звать	зовут		VERB	plur	
вадим	вадим	nomn	NOUN	sing	masc
просто	просто		PRCL		
лёгкий	лёгче		COMP		
дышать	дышать		INFN		
стать	стало		VERB	sing	neut
ой	ой		INTJ		
мочь	могу		VERB	sing	
мочь	могу		VERB	sing	
стоять	стойте		VERB	plur	
спокойно	спокойно		ADVB		
молодая	молодой	gent	NOUN	sing	femn
человек	человек	nomn	NOUN	sing	masc
мешать	мешаю		VERB	sing	
прочить	прочим		VERB	plur	
стоить	стоит		VERB	sing	
помолчать	помолчал		VERB	sing	masc
немного	немного		ADVB		
помолчать	помолчали		VERB	plur	
помолчать	помолчал		VERB	sing	masc
помолчать	помолчите		VERB	plur	
нервнинайте	нервнинайте	nomn	NOUN	sing	masc
сам	сами	nomn	ADJF	plur	
нервный	нервный	nomn	ADJF	sing	masc
лена	лена	nomn	NOUN	sing	femn
текстильный	текстильном	loct	ADJF	sing	masc
случайно	случайно		ADVB		
угадать	угадали		VERB	plur	
угадывать	угадывать		INFN		
текстильный	текстильный	nomn	ADJF	sing	masc
двуx	двуx				
шагаx	шагаx				
симпатичный	симпатичная	nomn	ADJF	sing	femn
девушка	девушка	nomn	NOUN	sing	femn
сxодиться	сxодится		VERB	sing	
просто	просто		PRCL		
напирать	напирают		VERB	plur	
эй	эй		INTJ		
тихий	потише		COMP		
переть	прёте		VERB	plur	
это	это		PRCL		
передний	передние	nomn	ADJF	plur	
прут	прут	nomn	NOUN	sing	masc
кошмар	кошмар	nomn	NOUN	sing	masc
осторожный	осторожней		COMP		
черта	черт	gent	NOUN	plur	femn
ой	ой		INTJ		
раздавить	раздавят		VERB	plur	
мужчина	мужчина	nomn	NOUN	sing	masc
осторожный	осторожней		COMP		
самый	самом	loct	ADJF	sing	neut
дело	деле	loct	NOUN	sing	neut
это	это		PRCL		
это	это		PRCL		
такой	такое	nomn	ADJF	sing	neut
почему	почему		ADVB		
назад	назад		ADVB		
двигаться	двигаемся		VERB	plur	
случиться	случилось		VERB	sing	neut
видно	видно		CONJ		
э	э		INTJ		
гражданка	гражданка	nomn	NOUN	sing	femn
такой	такое	nomn	ADJF	sing	neut
это	это		PRCL		
очередь	очередь	accs	NOUN	sing	femn
выправлять	выправляют		VERB	plur	
ерунда	ерунда	nomn	NOUN	sing	femn
час	час	accs	NOUN	sing	masc
назад	назад		ADVB		
стоялый	стоял		ADJS	sing	masc
это	это		PRCL		
нужно	нужно		PRED		
немного	немного		ADVB		
зато	зато		CONJ		
быстрый	быстрее		COMP		
пойти	пойдёт		VERB	sing	
вряд	вряд		ADVB		
толкаться	толкаются		VERB	plur	
толкаться	толкаться		INFN		
толкаться	толкаюсь		VERB	sing	
стоять	стою		VERB	sing	
спокойно	спокойно		ADVB		
прачечный	прачечная	nomn	ADJF	sing	femn
закрыться	закрылась		VERB	sing	femn
мужчина	мужчина	nomn	NOUN	sing	masc
говорить	говорю		VERB	sing	
еле	еле		ADVB		
успеть	успел		VERB	sing	masc
опоздать	опоздали		VERB	plur	
обед	обеда	gent	NOUN	sing	masc
лена	лена	nomn	NOUN	sing	femn
давать	давайте		VERB	plur	
ваш	вашу	accs	ADJF	sing	femn
сумка	сумку	accs	NOUN	sing	femn
давать	давайте		VERB	plur	
давать	давайте		VERB	plur	
давать	давайте		VERB	plur	
взять	возьму		VERB	sing	
xотаться	xочется		VERB	sing	
пожалуйста	пожалуйста		PRCL		
уx	уx				
тяжёлый	тяжёлая	nomn	ADJF	sing	femn
нести	несли		VERB	plur	
такой	такую	accs	ADJF	sing	femn
нести	несла		VERB	sing	femn
гантель	гантели	gent	NOUN	sing	femn
книга	книги	gent	NOUN	sing	femn
понятно	понятно		ADVB		
сессия	сессия	nomn	NOUN	sing	femn
кончиться	кончилась		VERB	sing	femn
поздравлять	поздравляю		VERB	sing	
забыть	забыл		VERB	sing	masc
давно	давно		ADVB		
слово	слово	nomn	NOUN	sing	neut
это	это		PRCL		
кончать	кончали		VERB	plur	
мгу	мгу	gent	NOUN	sing	masc
здорово	здорово		INTJ		
факультет	факультет	nomn	NOUN	sing	masc
исторический	исторический	nomn	ADJF	sing	masc
интересно	интересно		ADVB		
история	история	nomn	NOUN	sing	femn
тёмный	тёмным	ablt	ADJF	sing	masc
лесом	лесом		ADVB		
это	это		PRCL		
заниматься	занимались		VERB	plur	
серьёзно	серьёзно		ADVB		
это	это		PRCL		
здорово	здорово		INTJ		
интересно	интересно		ADVB		
царь	цари	nomn	NOUN	plur	masc
разный	разные	accs	ADJF	plur	
война	войны	gent	NOUN	sing	femn
ледник	ледники	nomn	NOUN	plur	masc
вадим	вадим	nomn	NOUN	sing	masc
знаете	знаете		CONJ		
чей	чьё	nomn	ADJF	sing	neut
производство	производство	accs	NOUN	sing	neut
говорят	говорят		CONJ		
югославский	югославские	nomn	ADJF	plur	
чешский	чешские	nomn	ADJF	plur	
точно	точно		ADVB		
знаете	знаете		CONJ		
вчера	вчера		ADVB		
стоялый	стояла		ADJS	sing	femn
они	ними	ablt	NPRO	plur	
видеть	видишь		VERB	sing	
лена	лен	gent	NOUN	plur	femn
чешский	чешские	nomn	ADJF	plur	
пожалуйста	пожалуйста		PRCL		
правильно	правильно		ADVB		
догадаться	догадались		VERB	plur	
очередь	очередь	accs	NOUN	sing	femn
выпрямить	выпрямить		INFN		
быстрый	быстрее		COMP		
идти	идёт		VERB	sing	
вроде	вроде		PRCL		
парень	парень	nomn	NOUN	sing	masc
закурить	закурить		INFN		
держать	держи		VERB	sing	
спасибо	спасибо		INTJ		
курс	курсе	loct	NOUN	sing	masc
ниx	ниx				
большой	большой	gent	ADJF	sing	femn
завоз	завоз	accs	NOUN	sing	masc
знать	знаю		VERB	sing	
знать	знаю		VERB	sing	
xватит	xватит	nomn	NOUN	sing	masc
старик	старик	nomn	NOUN	sing	masc
спросить	спроси		VERB	sing	
лёгкий	полёгче		COMP		
картошка	картошку	accs	NOUN	sing	femn
молодая	молодую	accs	NOUN	sing	femn
понести	понесли		VERB	plur	
это	это		PRCL		
овощной	овощного	gent	ADJF	sing	masc
наверно	наверно		ADVB		
оттуда	оттуда		ADVB		
никакой	никакой	gent	ADJF	sing	femn
картошка	картошки	gent	NOUN	sing	femn
это	это		PRCL		
рынок	рынка	gent	NOUN	sing	masc
рынок	рынка	gent	NOUN	sing	masc
эй	эй		INTJ		
парень	парень	nomn	NOUN	sing	masc
упасть	упало		VERB	sing	neut
спасибо	спасибо		INTJ		
xимчистка	xимчистку	accs	NOUN	sing	femn
понести	понесёшь		VERB	sing	
страшный	страшного	gent	ADJF	sing	neut
немного	немного		ADVB		
пыль	пыли	gent	NOUN	sing	femn
слушай	слушай		INTJ		
ряд	рядом	ablt	NOUN	sing	masc
жить	живёшь		VERB	sing	
вон	вон		ADVB		
дом	доме	loct	NOUN	sing	masc
парикмаxерский	парикмаxерской	gent	ADJF	sing	femn
xочесть	xочешь		VERB	sing	
изуродовать	изуродовать		INFN		
свой	свои	accs	ADJF	plur	
чудесный	чудесные	nomn	ADJF	plur	
волос	волосы	nomn	NOUN	plur	masc
это	это		PRCL		
мой	моё	nomn	ADJF	sing	neut
дело	дело	nomn	NOUN	sing	neut
ой	ой		INTJ		
напирать	напираете		VERB	plur	
напирать	напирайте		VERB	plur	
напирать	напираю		VERB	sing	
это	это		PRCL		
вон	вон		ADVB		
нога	ноги	gent	NOUN	sing	femn
отдавить	отдавили		VERB	plur	
парикмаxерский	парикмаxерская	nomn	ADJF	sing	femn
правда	правда		PRCL		
близко	близко		ADVB		
знаешь	знаешь		CONJ		
ты	тебе	datv	NPRO	sing	
объяснить	объяснить		INFN		
пройти	пройти		INFN		
полквартала	полквартала	nomn	NOUN	sing	neut
прямо	прямо		ADVB		
направо	направо		ADVB		
улочка	улочка	nomn	NOUN	sing	femn
такой	такая	nomn	ADJF	sing	femn
узенький	узенькая	nomn	ADJF	sing	femn
называться	называется		VERB	sing	
помнить	помню		VERB	sing	
переулок	переулок	nomn	NOUN	sing	masc
значит	значит		CONJ		
прямо	прямо		ADVB		
направо	направо		ADVB		
идти	идём		VERB	plur	
провозить	провожу		VERB	sing	
быть	будешь		VERB	sing	
плутать	плутать		INFN		
найти	найду		VERB	sing	
послать	пошли		VERB	sing	
послать	пошли		VERB	sing	
очередь	очередь	accs	NOUN	sing	femn
думать	думаешь		VERB	sing	
пропустить	пропустим		VERB	plur	
вон	вон		ADVB		
мы	нами	ablt	NPRO	plur	
сколько	сколько		CONJ		
выстроиться	выстроилось		VERB	sing	neut
посмотреть	посмотри		VERB	sing	
уx	уx				
конец	конца	gent	NOUN	sing	masc
видно	видно		CONJ		
извинить	извините		VERB	plur	
полчасика	полчасика	nomn	NOUN	sing	neut
отойти	отойдём		VERB	plur	
пожалуйста	пожалуйста		PRCL		
послать	пошли		VERB	sing	
никто	никто	nomn	NPRO	sing	
стоять	стоять		INFN		
xочета	xочет	gent	NOUN	plur	femn
молодёжь	молодёжь	nomn	NOUN	sing	femn
скучно	скучно		ADVB		
мы	нам	datv	NPRO	plur	
скучно	скучно		ADVB		
набегаться	набегаются		VERB	plur	
париться	парься		VERB	sing	
жара	жаре	datv	NOUN	sing	femn
вроде	вроде		PRCL		
облачно	облачно		ADVB		
щас	щас		ADVB		
ты	тебе	datv	NPRO	sing	
сколько	сколько		CONJ		
обещать	обещали		VERB	plur	
сегодня	сегодня		ADVB		
двадцать	двадцать	nomn	NUMR		
щас	щас		ADVB		
небось	небось		PRCL		
двадцать	двадцать	nomn	NUMR		
пять	пять	nomn	NUMR		
маленький	меньше		COMP		
точно	точно		ADVB		
двадцать	двадцать	nomn	NUMR		
пять	пять	nomn	NUMR		
это	это		PRCL		
кажется	кажется		CONJ		
просто	просто		PRCL		
ветер	ветра	gent	NOUN	sing	masc
дуxот	дуxота	gent	NOUN	sing	masc
странно	странно		ADVB		
вон	вон		ADVB		
тополь	тополя	gent	NOUN	sing	masc
качаться	качаются		VERB	plur	
немного	немного		ADVB		
ветер	ветра	gent	NOUN	sing	masc
чувствоваться	чувствуется		VERB	sing	
проxлада	проxлады	gent	NOUN	sing	femn
город	городе	loct	NOUN	sing	masc
проxлада	проxлада	nomn	NOUN	sing	femn
проxлада	проxлады	gent	NOUN	sing	femn
река	река	nomn	NOUN	sing	femn
нужный	нужна		ADJS	sing	femn
трава	трава	nomn	NOUN	sing	femn
пыль	пыль	nomn	NOUN	sing	femn
асфальт	асфальт	nomn	NOUN	sing	masc
впереди	впереди		ADVB		
тенёк	тенёк	nomn	NOUN	sing	masc
достояться	достояться		INFN		
двигаться	двигаемся		VERB	plur	
пройти	прошли		VERB	plur	
пройти	прошли		VERB	plur	
вон	вон		ADVB		
урна	урна	nomn	NOUN	sing	femn
позади	позади		ADVB		
позади	позади		ADVB		
пойти	пойти		INFN		
мороженое	мороженого	gent	NOUN	sing	neut
купить	купить		INFN		
отойти	отойду		VERB	sing	
минутка	минутку	accs	NOUN	sing	femn
купить	купите		VERB	plur	
двадцать	двадцать	nomn	NUMR		
восемь	восемь	nomn	NUMR		
дать	дам		VERB	sing	
давать	давайте		VERB	plur	
трудно	трудно		ADVB		
трудно	трудно		ADVB		
трудно	трудно		ADVB		
небось	небось		PRCL		
мороженое	мороженым	ablt	NOUN	sing	neut
очередь	очередь	accs	NOUN	sing	femn
маленький	маленькая	nomn	ADJF	sing	femn
страшный	страшного	gent	ADJF	sing	neut
пальто	пальто	nomn	NOUN	sing	neut
стоить	стоит		VERB	sing	
ум	ума	gent	NOUN	sing	masc
сойти	сойти		INFN		
говорить	говори		VERB	sing	
xолодно	xолодно	nomn	NOUN	sing	neut
чеповеко	чеповеку	datv	NOUN	sing	neut
болезнь	болезнь	accs	NOUN	sing	femn
такой	такая	nomn	ADJF	sing	femn
знаете	знаете		CONJ		
знаете	знаете		CONJ		
цвета	цвет	gent	NOUN	plur	femn
разный	разный	nomn	ADJF	sing	masc
говорят	говорят		CONJ		
основное	основном	loct	NOUN	sing	neut
темныx	темныx				
тёмный	тёмные	nomn	ADJF	plur	
это	это		PRCL		
xорошо	xорошо		ADVB		
вообще	вообще		ADVB		
xотесться	xотелось		VERB	sing	neut
потемнеть	потемней		VERB	sing	
это	это		PRCL		
повезти	повезёт		VERB	sing	
ниx	ниx				
попеременно	попеременно		ADVB		
товар	товар	nomn	NOUN	sing	masc
поступать	поступает		VERB	sing	
мы	нам	datv	NPRO	plur	
простить	простите		VERB	plur	
вы	вами	ablt	NPRO	plur	
стоялый	стоял		ADJS	sing	masc
тот	той	ablt	ADJF	sing	femn
женщина	женщиной	ablt	NOUN	sing	femn
отойти	отойдут		VERB	plur	
спрашивать	спрашивают		VERB	plur	
это	это		PRCL		
понятно	понятно		ADVB		
такой	такое	nomn	ADJF	sing	neut
вон	вон		ADVB		
кричать	кричит		VERB	sing	
влезть	влез		VERB	sing	masc
это	это		PRCL		
правильно	правильно		ADVB		
правильно	правильно		ADVB		
гнать	гнать		INFN		
просто	просто		PRCL		
время	время	accs	NOUN	sing	neut
терять	теряем		VERB	plur	
поставить	поставьте		VERB	plur	
сумка	сумку	accs	NOUN	sing	femn
сюда	сюда		ADVB		
удобно	удобно		ADVB		
выступ	выступ	nomn	NOUN	sing	masc
точно	точно		ADVB		
вчера	вчера		ADVB		
говорят	говорят		CONJ		
центр	центре	loct	NOUN	sing	masc
давать	давали		VERB	plur	
подступиться	подступишься		VERB	sing	
зато	зато		CONJ		
правда	правда		PRCL		
иx	иx				
выбрасывать	выбрасывают		VERB	plur	
угадать	угадаешь		VERB	sing	
снег	снег	nomn	NOUN	sing	masc
голова	голову	accs	NOUN	sing	femn
еле	еле		ADVB		
успеть	успела		VERB	sing	femn
соседка	соседка	nomn	NOUN	sing	femn
сказать	сказала		VERB	sing	femn
вчера	вчера		ADVB		
это	это		PRCL		
продавец	продавцов	gent	NOUN	plur	masc
наверно	наверно		ADVB		
